# W[k] = exp(-j*2*pi*k/256)
# k, Re(W[k]), Im(W[k])
193, +0.024541228522912, +0.999698818696204
194, +0.049067674327418, +0.998795456205172
195, +0.073564563599667, +0.997290456678690
196, +0.098017140329560, +0.995184726672197
197, +0.122410675199216, +0.992479534598710
198, +0.146730474455362, +0.989176509964781
199, +0.170961888760301, +0.985277642388941
200, +0.195090322016128, +0.980785280403230
201, +0.219101240156870, +0.975702130038529
202, +0.242980179903264, +0.970031253194544
203, +0.266712757474898, +0.963776065795440
204, +0.290284677254462, +0.956940335732209
205, +0.313681740398891, +0.949528180593037
206, +0.336889853392220, +0.941544065183021
207, +0.359895036534988, +0.932992798834739
208, +0.382683432365090, +0.923879532511287
209, +0.405241314004990, +0.914209755703531
210, +0.427555093430282, +0.903989293123443
211, +0.449611329654607, +0.893224301195515
212, +0.471396736825998, +0.881921264348355
213, +0.492898192229784, +0.870086991108711
214, +0.514102744193222, +0.857728610000272
215, +0.534997619887097, +0.844853565249707
216, +0.555570233019602, +0.831469612302545
217, +0.575808191417845, +0.817584813151584
218, +0.595699304492433, +0.803207531480645
219, +0.615231590580627, +0.788346427626606
220, +0.634393284163646, +0.773010453362737
221, +0.653172842953777, +0.757208846506485
222, +0.671558954847018, +0.740951125354959
223, +0.689540544737067, +0.724247082951467
224, +0.707106781186547, +0.707106781186548
225, +0.724247082951467, +0.689540544737067
226, +0.740951125354959, +0.671558954847019
227, +0.757208846506484, +0.653172842953777
228, +0.773010453362737, +0.634393284163646
229, +0.788346427626606, +0.615231590580627
230, +0.803207531480645, +0.595699304492433
231, +0.817584813151584, +0.575808191417845
232, +0.831469612302545, +0.555570233019602
233, +0.844853565249707, +0.534997619887097
234, +0.857728610000272, +0.514102744193222
235, +0.870086991108711, +0.492898192229784
236, +0.881921264348355, +0.471396736825998
237, +0.893224301195515, +0.449611329654607
238, +0.903989293123443, +0.427555093430283
239, +0.914209755703530, +0.405241314004990
240, +0.923879532511287, +0.382683432365090
241, +0.932992798834739, +0.359895036534988
242, +0.941544065183021, +0.336889853392220
243, +0.949528180593037, +0.313681740398892
244, +0.956940335732209, +0.290284677254462
245, +0.963776065795440, +0.266712757474899
246, +0.970031253194544, +0.242980179903264
247, +0.975702130038528, +0.219101240156870
248, +0.980785280403230, +0.195090322016129
249, +0.985277642388941, +0.170961888760302
250, +0.989176509964781, +0.146730474455362
251, +0.992479534598710, +0.122410675199216
252, +0.995184726672197, +0.098017140329561
253, +0.997290456678690, +0.073564563599667
254, +0.998795456205172, +0.049067674327418
255, +0.999698818696204, +0.024541228522912
